Satellite_data,ndviMedian,ndviStddev,pixelJdateMode,pixelJdateStddev
5-Mar-00,0.435,0.109,69,1.062
13-Mar-00,0.24,0.114,79,2.98
21-Mar-00,0.369,0.132,83,0.949
29-Mar-00,0.488,0.059,92,0
6-Apr-00,0.542,0.075,101,0
14-Apr-00,0.534,0.071,106,0.85
22-Apr-00,0.545,0.072,120,0
30-Apr-00,0.549,0.072,125,0.406
8-May-00,0.673,0.045,133,0
16-May-00,0.696,0.058,138,0
24-May-00,0.819,0.038,146,0.55
1-Jun-00,0.838,0.073,155,0
9-Jun-00,0.868,0.054,162,0.093
17-Jun-00,0.875,0.033,175,1.617
25-Jun-00,0.858,0.066,180,1.841
3-Jul-00,0.87,0.069,187,0.732
11-Jul-00,0.859,0.06,195,2.033
19-Jul-00,0.841,0.059,202,2.353
27-Jul-00,0.861,0.077,216,2.3
4-Aug-00,0.852,0.013,217,0
12-Aug-00,0.819,0.095,232,0
20-Aug-00,0.842,0.06,239,1.035
28-Aug-00,0.833,0.056,241,1.226
5-Sep-00,0.839,0.056,250,0.474
13-Sep-00,0.831,0.057,257,1.436
21-Sep-00,0.811,0.06,271,0.662
29-Sep-00,0.8,0.055,273,0.034
7-Oct-00,0.654,0.059,287,0.946
15-Oct-00,0.623,0.062,294,0
23-Oct-00,0.631,0.063,299,0
31-Oct-00,0.604,0.053,309,0.935
8-Nov-00,,,,
16-Nov-00,0.606,0.073,328,1.74
24-Nov-00,0.593,0.07,330,0.131
2-Dec-00,0.549,0.098,344,2.223
10-Dec-00,0.573,0.094,348,0.501
18-Dec-00,0.219,0.104,358,0.499
26-Dec-00,0.284,0.128,1,147.492
1-Jan-01,0.261,0.131,1,2.166
9-Jan-01,0.256,0.063,12,0.838
17-Jan-01,0.231,0.131,22,0
25-Jan-01,0.263,0.141,26,0.997
2-Feb-01,0.285,0.112,38,0
10-Feb-01,0.232,0.119,42,1.191
18-Feb-01,0.209,0.094,53,0
26-Feb-01,0.194,0.12,58,1.396
6-Mar-01,0.167,0.068,66,0.699
14-Mar-01,0.209,0.105,76,1.371
22-Mar-01,0.161,0.08,83,0
30-Mar-01,0.182,0.111,94,0.562
7-Apr-01,0.166,0.114,104,1.989
15-Apr-01,0.252,0.125,105,1.984
23-Apr-01,0.49,0.088,113,2.203
1-May-01,0.619,0.077,127,0.307
9-May-01,0.654,0.071,131,1.081
17-May-01,0.799,0.068,141,0.024
25-May-01,0.809,0.045,152,0
2-Jun-01,0.846,0.072,159,0.587
10-Jun-01,0.842,0.066,161,1.218
26-Jun-01,,,,
4-Jul-01,0.86,0.053,188,0.068
12-Jul-01,0.875,0.034,199,0.111
20-Jul-01,0.853,0.063,202,1.089
28-Jul-01,0.862,0.062,216,2.982
5-Aug-01,0.851,0.064,218,2.376
13-Aug-01,0.843,0.063,227,0.197
21-Aug-01,0.861,0.071,237,0.024
29-Aug-01,0.846,0.073,248,0.139
6-Sep-01,0.838,0.075,255,1.055
14-Sep-01,0.815,0.063,259,0
22-Sep-01,0.795,0.063,266,1.408
30-Sep-01,0.787,0.063,273,0.317
8-Oct-01,0.724,0.055,282,0.048
16-Oct-01,0.631,0.06,289,0
24-Oct-01,0.634,0.074,303,0.12
1-Nov-01,0.636,0.082,312,0.171
9-Nov-01,0.623,0.078,319,0.048
17-Nov-01,0.623,0.081,321,0.034
25-Nov-01,0.701,0.13,335,0
3-Dec-01,0.619,0.081,337,0.305
11-Dec-01,0.477,0.058,345,0
19-Dec-01,0.291,0.131,360,1.855
27-Dec-01,0.289,0.12,2,0
1-Jan-02,0.292,0.117,2,0.94
9-Jan-02,0.342,0.112,14,0.98
17-Jan-02,0.219,0.045,20,0
25-Jan-02,0.271,0.118,27,0.173
2-Feb-02,0.298,0.132,36,1.881
10-Feb-02,0.252,0.133,44,1.085
18-Feb-02,0.243,0.129,54,1.23
26-Feb-02,0.259,0.101,63,1.495
6-Mar-02,0.506,0.089,70,0
14-Mar-02,0.49,0.103,73,0.337
22-Mar-02,,,,
30-Mar-02,0.514,0.106,96,1.77
7-Apr-02,0.51,0.076,102,0.855
15-Apr-02,0.572,0.075,107,1.841
23-Apr-02,0.612,0.117,114,0
1-May-02,0.619,0.074,128,2.411
9-May-02,0.658,0.077,130,0.024
17-May-02,0.725,0.061,143,1.315
25-May-02,0.787,0.065,148,2.426
2-Jun-02,0.818,0.071,155,0.182
10-Jun-02,0.838,0.075,164,0
18-Jun-02,0.853,0.065,171,1.968
26-Jun-02,0.861,0.063,180,2.318
4-Jul-02,0.866,0.055,185,2.023
12-Jul-02,0.857,0.073,194,1.709
20-Jul-02,0.858,0.064,201,1.656
28-Jul-02,0.849,0.055,216,1.593
5-Aug-02,0.849,0.069,221,1.547
13-Aug-02,0.843,0.067,229,1.12
21-Aug-02,0.846,0.079,233,1.363
29-Aug-02,0.845,0.076,242,0.829
6-Sep-02,0.834,0.073,251,0.068
14-Sep-02,0.822,0.067,260,0.1
22-Sep-02,0.823,0.068,267,0.209
30-Sep-02,0.803,0.063,274,0
8-Oct-02,0.713,0.053,288,0.962
16-Oct-02,0.678,0.052,295,0.833
24-Oct-02,0.662,0.063,297,2.546
1-Nov-02,0.634,0.07,307,1.391
9-Nov-02,0.614,0.061,319,0.258
17-Nov-02,0.272,0.14,324,1.181
25-Nov-02,,,,
3-Dec-02,0.644,0.053,338,0
11-Dec-02,0.323,0.108,349,0
19-Dec-02,0.293,0.117,358,0
27-Dec-02,0.318,0.104,361,69.974
1-Jan-03,0.116,0.074,7,1.2
9-Jan-03,0.213,0.125,14,2.177
17-Jan-03,0.252,0.14,21,1.208
25-Jan-03,0.249,0.14,30,0.966
2-Feb-03,0.272,0.12,37,1.408
10-Feb-03,0.168,0.13,46,1.272
18-Feb-03,0.229,0.106,51,1.589
26-Feb-03,0.174,0.123,60,2.064
6-Mar-03,0.248,0.128,66,1.431
14-Mar-03,0.19,0.125,78,1.056
22-Mar-03,0.216,0.111,83,0.501
30-Mar-03,0.138,0.07,96,0.846
7-Apr-03,0.455,0.125,103,1.194
15-Apr-03,0.502,0.079,110,1.15
23-Apr-03,0.525,0.077,119,1.576
1-May-03,0.573,0.069,123,0.492
9-May-03,0.606,0.052,130,0
17-May-03,0.661,0.068,137,1.208
25-May-03,0.773,0.064,151,0
2-Jun-03,0.804,0.051,154,1.214
10-Jun-03,0.838,0.065,167,1.789
18-Jun-03,0.853,0.065,174,0
26-Jun-03,0.835,0.064,183,1.418
4-Jul-03,0.849,0.06,185,0
12-Jul-03,0.841,0.055,196,0.528
20-Jul-03,0.85,0.06,201,1.162
28-Jul-03,0.872,0.072,211,0
5-Aug-03,,,,
13-Aug-03,0.853,0.061,231,0.648
21-Aug-03,0.854,0.063,238,0.893
29-Aug-03,,,,
6-Sep-03,0.839,0.06,254,0.5
14-Sep-03,0.826,0.061,261,0.133
22-Sep-03,0.822,0.066,268,0.48
30-Sep-03,0.778,0.047,280,1.978
8-Oct-03,0.635,0.056,286,0.084
16-Oct-03,0.614,0.049,290,0.204
24-Oct-03,0.611,0.066,304,0
1-Nov-03,0.644,0.076,312,0.116
9-Nov-03,0.607,0.083,320,2.37
17-Nov-03,0.611,0.083,327,0.698
25-Nov-03,0.593,0.067,331,0
3-Dec-03,0.324,0.15,343,0
11-Dec-03,0.275,0.113,346,0.485
19-Dec-03,,,,
27-Dec-03,0.298,0.101,365,1.663
1-Jan-04,0.136,0.029,8,0
9-Jan-04,0.133,0.108,15,2.415
17-Jan-04,0.191,0.108,24,2.415
25-Jan-04,0.214,0.149,26,0.393
2-Feb-04,0.232,0.095,39,2.469
10-Feb-04,0.186,0.137,47,1.433
18-Feb-04,0.244,0.105,56,0.836
26-Feb-04,0.236,0.105,58,1.241
5-Mar-04,0.41,0.074,71,0
13-Mar-04,0.31,0.012,74,0
21-Mar-04,0.455,0.129,88,1.551
29-Mar-04,0.494,0.094,90,0.344
6-Apr-04,0.502,0.104,97,1.431
14-Apr-04,0.525,0.088,111,2.49
22-Apr-04,0.537,0.074,113,1.122
30-Apr-04,0.557,0.068,122,0
8-May-04,0.745,0.059,134,0.634
16-May-04,0.784,0.062,138,0.179
24-May-04,0.831,0.067,152,1.135
1-Jun-04,0.839,0.06,156,1.28
9-Jun-04,0.83,0.063,163,1.038
17-Jun-04,0.857,0.074,175,0.801
25-Jun-04,0.847,0.043,183,0.335
3-Jul-04,0.83,0.067,186,1.113
11-Jul-04,0.854,0.062,193,0
19-Jul-04,0.86,0.054,204,0.636
27-Jul-04,0.858,0.042,215,1.044
4-Aug-04,0.846,0.055,222,1.779
12-Aug-04,0.886,0.038,231,0.45
20-Aug-04,0.845,0.06,239,0.803
28-Aug-04,0.854,0.066,246,0.866
5-Sep-04,0.85,0.064,255,0.856
13-Sep-04,0.838,0.064,264,3.108
21-Sep-04,0.818,0.064,266,0.241
29-Sep-04,0.756,0.061,280,2.934
7-Oct-04,0.709,0.06,282,1.221
15-Oct-04,0.65,0.064,294,0
23-Oct-04,0.639,0.071,303,0
31-Oct-04,0.655,0.037,308,0
8-Nov-04,0.639,0.083,319,0.32
16-Nov-04,0.607,0.08,328,1.741
24-Nov-04,0.623,0.086,335,0
2-Dec-04,0.569,0.095,339,0
10-Dec-04,0.533,0.105,350,0
18-Dec-04,0.561,0.12,353,0
26-Dec-04,0.21,0.178,362,94.267
1-Jan-05,0.182,0.277,7,2.528
9-Jan-05,0.209,0.043,9,0
17-Jan-05,0.185,0.046,23,0.923
25-Jan-05,0.248,0.117,31,1.637
2-Feb-05,0.295,0.131,37,1.539
10-Feb-05,0.251,0.099,48,1.033
18-Feb-05,0.209,0.093,51,2.187
26-Feb-05,0.198,0.099,58,2.511
6-Mar-05,0.104,0.066,72,1.238
14-Mar-05,0.197,0.106,80,1.827
22-Mar-05,0.224,0.116,81,2.159
30-Mar-05,0.475,0.124,95,1.797
7-Apr-05,0.517,0.1,99,0.895
15-Apr-05,0.51,0.088,106,1.02
23-Apr-05,0.566,0.073,119,0
1-May-05,0.602,0.072,125,0.978
9-May-05,0.612,0.077,131,1.526
17-May-05,0.681,0.064,140,0
25-May-05,0.726,0.065,149,0.677
2-Jun-05,0.81,0.069,156,1.178
10-Jun-05,0.881,0.031,162,0.236
18-Jun-05,0.842,0.065,172,0.249
26-Jun-05,0.877,0.065,184,2.992
4-Jul-05,0.878,0.059,191,0.577
12-Jul-05,0.873,0.068,193,0.912
20-Jul-05,0.869,0.068,202,0.899
28-Jul-05,0.87,0.054,214,1.527
5-Aug-05,0.854,0.064,220,0.507
13-Aug-05,0.837,0.067,230,2.295
21-Aug-05,0.841,0.066,239,1.295
29-Aug-05,0.849,0.062,245,1.461
6-Sep-05,0.846,0.069,250,0.761
14-Sep-05,0.834,0.065,264,3.135
22-Sep-05,0.821,0.058,271,1.954
30-Sep-05,0.803,0.064,275,0.059
8-Oct-05,,,,
16-Oct-05,0.7,0.058,294,0.187
24-Oct-05,0.682,0.078,303,0.428
1-Nov-05,0.627,0.068,309,0
9-Nov-05,0.646,0.079,316,0.048
17-Nov-05,0.599,0.08,325,1.334
25-Nov-05,0.651,0.1,335,0
3-Dec-05,0.584,0.103,337,2.274
11-Dec-05,0.278,0.163,348,0
19-Dec-05,,,,
27-Dec-05,0.295,0.09,2,0
1-Jan-06,0.282,0.096,7,1.486
9-Jan-06,0.294,0.115,10,0
17-Jan-06,0.525,0.118,22,0.243
25-Jan-06,0.236,0.134,27,0
2-Feb-06,0.49,0.11,40,0
10-Feb-06,0.49,0.106,47,1.567
18-Feb-06,0.486,0.098,50,1.406
26-Feb-06,0.21,0.111,64,1.578
6-Mar-06,0.451,0.141,70,1.814
